[17/06/2022 20:29:01] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_show_skills], Params: [] 
[18/06/2022 6:51:50] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_give_all_skills], Params: [] 
[18/06/2022 6:53:09] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 6:53:11] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[18/06/2022 6:53:12] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradea.htm] 
[18/06/2022 6:53:17] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9063] 
[18/06/2022 6:53:32] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 6:53:33] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[18/06/2022 6:53:35] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshops.htm] 
[18/06/2022 6:53:36] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 6:53:42] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9113] 
[18/06/2022 6:54:05] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 6:54:07] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 6:54:08] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 6:54:10] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9039] 
[18/06/2022 6:54:22] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 6:55:08] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Jewels.htm] 
[18/06/2022 6:55:09] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9126] 
[18/06/2022 6:55:55] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_spawn 20701], Params: [] 
[18/06/2022 6:56:12] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 6:56:20] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 57 1000000000] 
[18/06/2022 6:56:23] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 6:56:32] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 57 1000000000] 
[18/06/2022 6:56:34] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 6:56:42] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 57 1000000000] 
[18/06/2022 6:58:56] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 6:59:02] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_seteh], Params: [ 4] 
[18/06/2022 6:59:03] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setec], Params: [] 
[18/06/2022 6:59:04] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setel], Params: [ 444] 
[18/06/2022 6:59:06] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setec], Params: [ 4] 
[18/06/2022 6:59:07] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_seteh], Params: [ 4] 
[18/06/2022 6:59:08] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setel], Params: [ 4] 
[18/06/2022 6:59:10] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setew], Params: [ 4] 
[18/06/2022 6:59:11] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_seteg], Params: [ 4] 
[18/06/2022 6:59:12] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setba], Params: [ 4] 
[18/06/2022 6:59:13] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setes], Params: [ 44444444444] 
[18/06/2022 6:59:22] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setba], Params: [ 4] 
[18/06/2022 6:59:23] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setes], Params: [ 4] 
[18/06/2022 6:59:24] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_seteb], Params: [ 4] 
[18/06/2022 6:59:28] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setre], Params: [ 4] 
[18/06/2022 6:59:29] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setrf], Params: [ 4] 
[18/06/2022 6:59:30] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_seten], Params: [ 4] 
[18/06/2022 6:59:31] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setle], Params: [ 4] 
[18/06/2022 6:59:32] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setlf], Params: [ 4] 
[18/06/2022 6:59:51] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 6:59:56] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setre], Params: [ 4] 
[18/06/2022 6:59:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setrf], Params: [ 4] 
[18/06/2022 6:59:59] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setlf], Params: [ 4] 
[18/06/2022 7:01:40] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:01:42] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 3002] 
[18/06/2022 7:04:35] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 7:09:13] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_recall TESTE], Params: [] 
[18/06/2022 7:10:12] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:10:15] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Dyes.htm] 
[18/06/2022 7:10:17] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9128] 
[18/06/2022 7:15:31] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_recall TESTE], Params: [] 
[18/06/2022 7:23:47] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [] 
[18/06/2022 7:23:50] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [ 92] 
[18/06/2022 7:23:57] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 7:23:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_remove_all_skills], Params: [] 
[18/06/2022 7:24:00] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 7:24:01] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_give_all_skills], Params: [] 
[18/06/2022 7:25:49] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 7:26:27] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant weap], Params: [] 
[18/06/2022 7:27:10] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant lhand +4], Params: [] 
[18/06/2022 7:27:14] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setew], Params: [ 4] 
[18/06/2022 7:27:49] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 7:28:40] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 7:37:07] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:37:08] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 7:37:15] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 9114] 
[18/06/2022 7:37:28] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:37:29] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 7:37:31] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 9111] 
[18/06/2022 7:37:41] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:37:43] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 7:37:45] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 9112] 
[18/06/2022 7:38:06] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:38:07] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 7:38:12] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 9111] 
[18/06/2022 7:39:17] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:39:19] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 7:39:21] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 7:39:22] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9040] 
[18/06/2022 7:39:53] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:39:54] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 7:39:55] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[18/06/2022 7:39:56] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:39:57] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 7:39:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 7:39:59] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9040] 
[18/06/2022 7:40:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 7:42:22] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 7:42:26] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setew], Params: [ 8] 
[18/06/2022 7:44:53] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 7:45:20] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_spawn pepper], Params: [] 
[18/06/2022 7:46:07] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:10] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:13] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:17] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:20] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:22] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:30] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 7:46:40] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:46:42] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 7:46:50] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 9111] 
[18/06/2022 7:47:16] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_enchant], Params: [] 
[18/06/2022 7:47:20] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_setew], Params: [ 8] 
[18/06/2022 7:47:26] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:47:28] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/Dyes.htm] 
[18/06/2022 7:47:29] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 9128] 
[18/06/2022 7:49:52] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [] 
[18/06/2022 7:50:16] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [ 95] 
[18/06/2022 7:50:21] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 7:50:23] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_remove_all_skills], Params: [] 
[18/06/2022 7:50:24] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 7:50:25] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_give_all_skills], Params: [] 
[18/06/2022 7:51:46] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:51:55] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 300537] 
[18/06/2022 7:51:56] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:51:59] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 3001] 
[18/06/2022 7:52:02] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:52:11] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/materials.htm] 
[18/06/2022 7:52:14] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 30050] 
[18/06/2022 7:52:18] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:52:19] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/materials.htm] 
[18/06/2022 7:52:21] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 30051] 
[18/06/2022 7:52:22] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:52:23] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/materials.htm] 
[18/06/2022 7:52:25] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 30052] 
[18/06/2022 7:52:29] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:53:55] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 7:54:01] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 3031 50000] 
[18/06/2022 7:56:25] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[18/06/2022 7:56:25] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 7:56:32] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 2508 666666] 
[18/06/2022 7:58:24] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 7:58:27] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 8:03:42] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 8:04:18] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_kill], Params: [] 
[18/06/2022 8:04:20] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_res], Params: [] 
[18/06/2022 8:04:22] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 8:05:06] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 8:09:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 8:10:50] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 8:10:53] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_gmshop], Params: [] 
[18/06/2022 8:10:54] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 8:10:55] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 8:11:00] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_buy], Params: [ 9037] 
[18/06/2022 8:11:04] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 8:11:06] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 8:11:07] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 8:11:10] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 9036] 
[18/06/2022 8:12:42] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 8:13:26] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_heal], Params: [] 
[18/06/2022 8:13:33] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 8:13:38] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 8:13:42] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 3002] 
[18/06/2022 8:17:20] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmspeed 4], Params: [] 
[18/06/2022 8:18:41] --> GM: XxClaudinhaxX [268477771], Target: [Chapel Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:18:44] --> GM: XxClaudinhaxX [268477771], Target: [Chapel Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:18:46] --> GM: XxClaudinhaxX [268477771], Target: [Chapel Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:19:02] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:19:03] --> GM: XxClaudinhaxX [268477771], Target: [Chapel Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:19:05] --> GM: XxClaudinhaxX [268477771], Target: [Chapel Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:19:06] --> GM: XxClaudinhaxX [268477771], Target: [Chapel Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:31] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:31] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:32] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:37] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:57] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:57] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:21:57] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:03] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Sacrifice], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:03] --> GM: XxClaudinhaxX [268477771], Target: [Temple Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:28] --> GM: XxClaudinhaxX [268477771], Target: [Temple Guard Captain], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:28] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:32] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:32] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:34] --> GM: XxClaudinhaxX [268477771], Target: [Temple Guard], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:44] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:44] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Sacrifice], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:44] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:22:45] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:50] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:50] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:51] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:51] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:51] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Sacrifice], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:51] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:51] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:52] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:52] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:52] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:52] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:52] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Sacrifice], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:53] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:23:53] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:24:06] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_invul], Params: [] 
[18/06/2022 8:25:12] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_heal], Params: [] 
[18/06/2022 8:25:37] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:37] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:37] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:38] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:38] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:38] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:40] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:40] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:40] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:40] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:40] --> GM: XxClaudinhaxX [268477771], Target: [Triol's High Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:40] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:42] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Sacrifice], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:42] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Believer], Action: [admin_kill], Params: [] 
[18/06/2022 8:25:42] --> GM: XxClaudinhaxX [268477771], Target: [Triol's Priest], Action: [admin_kill], Params: [] 
[18/06/2022 8:26:32] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_teleportto TESTE], Params: [] 
