[24/06/2022 21:10:07] --> GM: XxAdilioxX [268477771], Target: [XxAdilioxX], Action: [admin_edit_character], Params: [] 
[27/06/2022 20:31:31] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:32] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:33] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:34] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:31:36] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:32:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:32:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_show_droplist], Params: [ 22140] 
[27/06/2022 20:33:22] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_show_droplist], Params: [ 22140] 
[27/06/2022 20:33:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_admin], Params: [] 
[27/06/2022 20:33:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_move_to], Params: [] 
[27/06/2022 20:35:35] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_move_to -16545 -39603 -10725], Params: [] 
[27/06/2022 20:35:43] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_move_to -16545 -39603 -10725], Params: [] 
[27/06/2022 20:35:52] --> GM: XxAdilioxX [268477771], Target: [null], Action: [admin_move_to -16545 -39603 -10725], Params: [] 
[27/06/2022 20:35:56] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[27/06/2022 20:35:57] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [] 
[27/06/2022 20:35:59] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[27/06/2022 20:36:00] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[27/06/2022 20:36:01] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[27/06/2022 20:37:02] --> GM: XxAdilioxX [268477771], Target: [Amanda], Action: [admin_server_restart 0], Params: [] 
[27/06/2022 20:43:05] --> GM: XxAdilioxX [268477771], Target: [XxAdilioxX], Action: [admin_heal], Params: [] 
[27/06/2022 20:43:19] --> GM: XxAdilioxX [268477771], Target: [XxAdilioxX], Action: [admin_heal], Params: [] 
[27/06/2022 20:43:50] --> GM: XxAdilioxX [268477771], Target: [Chant], Action: [admin_gmspeed 4], Params: [] 
[27/06/2022 20:44:07] --> GM: XxAdilioxX [268477771], Target: [XxAdilioxX], Action: [admin_move_to -16545 -39603 -10725], Params: [] 
[27/06/2022 20:44:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:44:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:02] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:07] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:14] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:18] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:23] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:26] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:39] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:41] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:42] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:42] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:42] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:42] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:43] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:45] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:46] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:52] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:55] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:57] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:45:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:00] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:01] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:01] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:01] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[27/06/2022 20:46:01] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[27/06/2022 20:46:01] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
